OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
533418,38501015,,DEFAULT,,,ics209,324,,MSMIC,64800,,,,,Active,,,,Undetermined,,,,,1771787700000,,,0,100,0,0,,,SACC,1771873229000,1771787700000,1771867800000,F,Type 5 IC,Jeff Davis - Lucas Warner Rd,"1 Miles N from Lucas, MS",WF,FI,,,,,{4DFD593B-C397-431C-B370-817661E97B82},,0,,,0,,,0,1,016855,ics209,100,100,Prentiss,Jefferson Davis,MSMIC,28065,,,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Southern Rough,,3,2026-MSMSS-016855,No Decision,,,,1771873230010,1771873230010,0,,,{A076A33B-9DEB-4BA9-A3C9-740E06100D6D},a1ac78dc-8727-4079-ad59-bb342fd79de9,Type 5 Incident,-89.9605556,31.6002778
533443,38501038,,DEFAULT,,,ics209,319,,MSMIC,63800,,,,,Extreme,,Wind Driven Runs,,Human,,,,,1771862400000,,,0,100,0,0,,,SACC,1771892534000,1771864200000,1771890300000,F,Type 5 IC,Pearl River,"5 Miles SW from Silver Run, MS",WF,FI,,,,,{49B2C66E-69CF-4116-9280-1B1D205ADFA1},,0,,,0,,,0,1,016874,ics209,100,100,,Pearl River,MSMIC,28109,,,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Southern Rough,Timber (Litter and Understory),1,2026-MSMSS-016874,No Decision,,,,1771881436913,1771892534723,0,,,{49B68C1E-151D-4A03-935A-CE24DE3F2050},ed459065-fcdb-4bbb-a397-408101899b61,Type 5 Incident,-89.3922222,30.6702778
533445,43145610,,DEFAULT,1771891200000,,firesponse,55,55,TXTIC,,,,,,Moderate,,,,Human,Debris and open burning,Escaped Prescribed Burn,,,1771880400000,Type 5 Incident,,,,,,,,SACC,,,,,,Polk 1744,,WF,FI,30.75002839,-94.87877255,,,{4DF464B2-91ED-4966-855E-8F856BA5B2AF},,0,,,0,,,0,1,261744,firesponse,100,,,Polk,TXTIC,48373,SFS,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2026-TXTXS-261744,No Decision,,,,1771881716910,1774188242643,0,,,{4DF464B2-91ED-4966-855E-8F856BA5B2AF},6ce7fc57-f820-483e-a531-70d9440a0d92,Type 5 Incident,-94.84756667,30.75321667
533446,43145611,,DEFAULT,1772989200000,1772989200000,wildcade,19.6,10,ARAOC,,,,,,,,,,Human,,,SJAQ,,1771870200000,,1772989200000,,,,,PA,1542,SACC,,,,,,FLAT GATE,,WF,FI,36.8817,-96.6831,,,{79CD23ED-EFA1-45CE-B2AE-A4E1F9A8A333},,0,1,,0,,,,1,000607,wildcade,,,,Osage,ARAOC,40113,,,,Private,Private,,,,,,,SA03,BIA,OKOSA,US-OK,,,,,,2026-OKOSA-000607,No Decision,,,,1771881826727,1773063928683,0,,,{79CD23ED-EFA1-45CE-B2AE-A4E1F9A8A333},39b4e8f3-69d9-46ff-8ab0-9bb02783368a,Type 4 Incident,-96.6831,36.8817
533448,43145210,,DEFAULT,1771896300000,1773081660000,wildcade,25,3,TXTIC,,,,,,,,,,Human,,,SJCB,,1771879245000,,,,,,,,,SACC,,,,,,Mustang,,WF,FI,31.3333,-95.2624,,,{8EE0A8C9-8AC0-47D1-8F27-B2B8DD0A556B},,0,1,,0,,,,1,000132,wildcade,,,,Houston,TXTIC,48225,USFS,TXTXF,,USFS,Federal,,,,,,,SA12,USFS,TXTXF,US-TX,,,,,,2026-TXTXF-000132,No Decision,,,,1771882514083,1773081722183,0,,,{8EE0A8C9-8AC0-47D1-8F27-B2B8DD0A556B},ef177fc6-9b61-4e49-b125-8d2358e33c75,Type 4 Incident,-95.224883,31.3488
533459,43146004,,DEFAULT,1772318700000,1773205200000,wildcade,515,1,TXTIC,50000,,,,,Minimal,,Creeping,,Undetermined,,,SJAK,,1771882020000,,,20,40,40,0,P8,0813,SACC,1773263443000,1773183600000,1773262800000,F,Type 4 IC,Boggy Wilderness,"9 Miles NE from Alto, TX",WF,FI,31.4793,-95.1161,,,{9A0C11AB-23D9-4EE7-81C1-AF98F8479494},,0,1,,0,,,0,1,000133,ics209,100,4,Alto,Houston,TXTIC,48225,USFS,TXTXF,,USFS,Federal,,,,,,,SA12,USFS,TXTXF,US-TX,,,Southern Rough,Timber (Litter and Understory),10,2026-TXTXF-000133,No Decision,,,,1771886148047,1773263443023,0,,,{9A0C11AB-23D9-4EE7-81C1-AF98F8479494},040389d5-1f60-4179-b981-69821ab7da3a,Type 4 Incident,-95.111848,31.510818
533473,43146410,,DEFAULT,1772065626000,1772330431000,firesponse,169,169,TXTIC,,,,,,Minimal,,,,Undetermined,Undetermined (remarks required),Origin and/or cause not identified,,,1771882438000,Type 5 Incident,,,,,,,,SACC,,,,,,Granite Valley,,WF,FI,30.659832,-98.900238,,,{8A00AA56-FA28-4B24-951C-48A041BBA0DB},,0,,,0,,,0,1,261748,firesponse,100,,,Llano,TXTIC,48299,SFS,TXTXS,,Private,Private,,,,,,,SA10,SFS,TXTXS,US-TX,,,Brush (2 feet),,,2026-TXTXS-261748,No Decision,,,,1771889467407,1772837543503,0,,,{8A00AA56-FA28-4B24-951C-48A041BBA0DB},0a57410b-5357-4b64-9b14-dccb2eaf9bcc,Type 5 Incident,-98.900238,30.659832
533478,43146414,,DEFAULT,1772558820000,1772985240000,wildcade,13.9,0.25,MOMOC,,,,,,,,,,Undetermined,,,SJBB,,1771887533000,,1772985300000,,,,,P9,0905,EACC,,,,,,Prairie Dog,,WF,FI,36.831467,-92.999383,,,{3B538CD4-0E63-4017-B3AB-2DC361EE2F0E},,0,1,,0,,,,1,000111,wildcade,,,,Christian,MOMOC,29043,USFS,MOMTF,,USFS,Federal,,,,,,,EA12,USFS,MOMTF,US-MO,,,,,,2026-MOMTF-000111,No Decision,,,,1771891001997,1772985358490,0,,,{3B538CD4-0E63-4017-B3AB-2DC361EE2F0E},faafe989-389b-4568-92c9-7612fb08009c,,-92.999383,36.831467
533483,38501079,,DEFAULT,,,ics209,386,,ALAIC,2000,,,,,Minimal,,,,Undetermined,,,,,1771875840000,,,0,100,0,0,,,SACC,1772210654000,1772207340000,1772210520000,F,Type 3 IC,The Buckalew Mountain,"13 Miles SE from Cussuta, AL",WF,FI,,,,,{075F2238-7D56-46C8-8122-395007374791},,0,,,0,,,0,1,260223-12,ics209,100,100,Cussuta,Chambers,ALAIC,01017,,,,Private,Private,,,,,,,SA39,FC,ALALS,US-AL,,,Brush (2 feet),,,2026-ALALS-260223-12,No Decision,,,,1771894453503,1772210654177,0,,,{1D10C063-1BFE-480B-8033-C9173B78B8FB},fbb811f6-611b-4c68-aa88-d2f0454fe261,Type 3 Incident,-85.3458333,32.7969444
533486,38501081,,DEFAULT,,,ics209,100,,MSMIC,25000,,,,,Extreme,,,,Human,,,,,1771870500000,,,0,100,0,0,,,SACC,1771895518000,1771870500000,1771893900000,F,Type 3 IC,Lawrence 1337 Nola Rd,"4 Miles N from Hwy 84, MS",WF,FI,,,,,{C112CC38-5B68-4DFB-879F-2701CC8F31BF},,0,,,0,,,0,1,019897,ics209,100,100,Monticello,Lawrence,MSMIC,28077,,,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Southern Rough,,3,2026-MSMSS-019897,No Decision,,,,1771895518127,1771895518127,0,,,{FC9A25D9-C0F1-43EE-8ECB-5FE1F8A79DC4},91a0ffae-8297-4e07-b22e-b6fa1f46c8a5,Type 3 Incident,-90.1594444,31.5822222
533491,43147211,,DEFAULT,1772061480000,,wildcade,119,3,FLFIC,,,,,,,,,,Human,,,SJBC,,1771895626000,,,,,,,PP,1542,SACC,,,,,,Regal,,WF,FI,25.87315,-81.199467,,,{3D1FD4AE-947A-4F28-B248-F5372D21EC83},,0,1,,0,,,,1,000590,wildcade,,,,Collier,FLFIC,12021,NPS,FLBCP,,NPS,Federal,,,,,,,SA50,NPS,FLBCP,US-FL,,,,,,2026-FLBCP-000590,Approved Decision,500000,Type 4 IC,1771975818000,1771898973987,1773413971007,0,,,{3D1FD4AE-947A-4F28-B248-F5372D21EC83},a81e0b7c-0631-4d2f-9249-793da7ad4f5d,,-81.199467,25.87315
533497,43148407,,DEFAULT,1771966200000,1771966200000,wildcade,22,0.1,NVLIC,,,,,,,,,,Human,,,SJBD,,1771882500000,,1773156600000,,,,,,,GBCC,,,,,,WHEELER,,WF,FI,36.204,-115.876,,,{49CEFA67-F292-408E-BA29-E58195D812F4},,0,1,,0,,,,1,500109,wildcade,,,,Clark,NVLIC,32003,BLM,NVSND,,BLM,Federal,,,,,,,GB22,BLM,NVSND,US-NV,,,,,,2026-NVSND-500109,No Decision,,,,1771901365360,1773156666473,0,,,{49CEFA67-F292-408E-BA29-E58195D812F4},5e9fe79b-d4ff-44df-9149-9fa391176f53,Type 5 Incident,-115.875942,36.203542
533500,38501095,,DEFAULT,,,ics209,1405,,ARAOC,2500,,,,,Minimal,,Creeping,,Human,,,,,1771873200000,,,0,100,0,0,,,SACC,1772047883000,1771965000000,1772046900000,F,Type 4 IC,Savage Highway,"6 Miles S from Hartshorne, OK",WF,FI,,,,,{77B5ABD0-1E7A-4F14-8A42-4B4547DE99E3},,0,,,0,,,0,1,260300,ics209,100,100,,Pittsburg,ARAOC,40121,,,,Private,Private,Indian,,,3N,12,16E,SA17A,DVF,OKOKS,US-OK,,,Hardwood Litter,Short Grass (1 foot),3,2026-OKOKS-260300,No Decision,,,,1771902601910,1772047883053,0,,,{F362A0AE-DD0B-41F7-9A10-D14E676D9576},f62d0e46-d509-4c44-b93b-d3807fdb5bf5,Type 4 Incident,-95.58,34.7519444
533509,38501104,,DEFAULT,,,ics209,101,,MSMIC,25250,,,,,Extreme,,,,Human,,,,,1771889400000,,,0,100,0,0,,,SACC,1771908530000,1771889400000,1771907400000,F,Type 3 IC,Pearl River ET Poole Rd,"5 Miles S from Poplarville, MS",WF,FI,,,,,{239C9F32-7CA0-4EED-85E0-C67F2FC54E6B},,0,,,0,,,0,1,016904,ics209,100,100,Poplarville,Pearl River,MSMIC,28109,,,,Private,Private,,,,,,,SA22A,FC,MSMSS,US-MS,,,Southern Rough,,2,2026-MSMSS-016904,No Decision,,,,1771908529953,1771908529953,0,,,{FE7930ED-D0F9-4768-A465-68C232A9C372},41577025-107b-406a-a456-ca06921c9cfa,Type 3 Incident,-89.5616667,30.7658333
533517,43151204,,DEFAULT,1771926840000,,wildcade,15.29,3,SDGPC,,,,,,,,,,Human,,,SJBF,,1771922015000,,1772132400000,,,,,PN,1542,RMCC,,,,,,Howard CA,,WF,FI,44.084288,-103.233959,,,{B438DDD0-4445-4B95-9ADD-339B7AF5DBCA},,0,1,0,0,0,0,,1,260109,wildcade,,,,Pennington,SDGPC,46103,,,,Private,Private,,,,,,,RM05,C&L,SDPNX,US-SD,,,,,,2026-SDPNX-260109,No Decision,,,,1771924400933,1774651126837,0,,,{B438DDD0-4445-4B95-9ADD-339B7AF5DBCA},6ea6b156-69f5-4b51-b234-f485a8b9a3e3,,-103.23235,44.106533
533555,43154807,,DEFAULT,1771961460000,1772559960000,wildcade,101,50,MOMOC,5000,,,,,Minimal,,Creeping,,Undetermined,,,SJCA,,1771927200000,,1772560020000,0,100,0,0,P9,0905,EACC,1772648721000,1772404200000,1772647200000,F,Type 4 IC,Red Point,"8 Miles SW from Viburnum, MO",WF,FI,37.633391,-91.155753,,,{C5B55858-B6EE-4984-A6CB-01CD10292DEE},,0,1,,0,,,0,1,000112,ics209,100,100,Viburnum,Dent,MOMOC,29065,,,,Private,Private,,,,,,,EA13,USFS,MOMTF,US-MO,,,Timber (Litter and Understory),,4,2026-MOMTF-000112,No Decision,,,,1771943965370,1772648721020,0,,,{C5B55858-B6EE-4984-A6CB-01CD10292DEE},d3d4b365-0917-4956-ad17-655e0485758e,Type 4 Incident,-91.1732,37.636633
533557,38501155,,DEFAULT,1771935540000,1771965960000,wildcade,42,1,COPBC,,,,,,,,,,Human,,,SJBQ,,1771929720000,,1771965960000,,,,,PN,1542,RMCC,,,,,,Lascar,,WF,FI,37.819663,-104.933397,,,{D2FB7987-EB59-4D63-91A2-2AC2C5E51FB7},,0,1,,0,,,,1,000194,wildcade,,,,Huerfano,COPBC,08055,,,,Private,Private,,,,,,,RM22,C&L,COHUX,US-CO,,,,,,2026-COHUX-000194,No Decision,,,,1771944404267,1772119751567,0,,,{344A2973-7983-404F-8846-A6A9713CB773},2a1977e8-aeda-440a-ac55-472438392e77,,-104.933397,37.819663
